config_id,bar,feature_set,n_features,fit_scope,method,n_components,task,probe,metric,value,fit_seconds,n_eval,timestamp
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,reg_fwdvol,knn,r2,0.7479,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,reg_curvol,ridge,r2,0.2683,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,reg_curvol,knn,r2,0.7429,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,reg_relspread,ridge,r2,0.1171,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,reg_relspread,knn,r2,0.5232,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,reg_intraday,ridge,r2,0.0405,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|KernelPCA_rbf,5s,full,19,sym:NVDA,KernelPCA_rbf,3,reg_intraday,knn,r2,0.1123,0.17,6400,2026-06-03 14:08:15
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,lab_stress,logistic,auc,0.803,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,lab_stress,knn,auc,0.9147,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,lab_depth_collapse,logistic,auc,0.5771,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,lab_depth_collapse,knn,auc,0.6055,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,lab_spread_widen,logistic,auc,0.6942,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,lab_spread_widen,knn,auc,0.6951,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,lab_vol_spike,logistic,auc,0.7727,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,lab_vol_spike,knn,auc,0.8594,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,reg_fwdvol,ridge,r2,0.2591,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,reg_fwdvol,knn,r2,0.4592,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,reg_curvol,ridge,r2,0.2608,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,reg_curvol,knn,r2,0.4672,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,reg_relspread,ridge,r2,0.382,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,reg_relspread,knn,r2,0.4759,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,reg_intraday,ridge,r2,0.0541,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn10,5s,full,19,sym:NVDA,Isomap_nn10,3,reg_intraday,knn,r2,0.0713,1.44,6400,2026-06-03 14:08:17
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,lab_stress,logistic,auc,0.8069,2.08,6400,2026-06-03 14:08:19
